Country,year,pop_thousands,age_group,sex
Bahrain,2021,1501.764,Все,Все
Bahrain,2022,1533.459,Все,Все
Bahrain,2023,1569.666,Все,Все
Cyprus,2019,1286.672,Все,Все
Cyprus,2020,1302.248,Все,Все
Cyprus,2021,1317.308,Все,Все
Cyprus,2022,1331.37,Все,Все
Cyprus,2023,1344.976,Все,Все
Georgia,2019,3796.722,Все,Все
Georgia,2020,3795.678,Все,Все
Georgia,2021,3788.451,Все,Все
Georgia,2022,3794.784,Все,Все
Georgia,2023,3807.492,Все,Все
Iraq (Central Iraq),2019,41192.17,Все,Все
Iraq (Central Iraq),2020,42116.604,Все,Все
Iraq (Central Iraq),2021,43071.21,Все,Все
Iraq (Central Iraq),2022,44070.551,Все,Все
Iraq (Central Iraq),2023,45074.049,Все,Все
Israel,2019,8657.474,Все,Все
Israel,2020,8800.376,Все,Все
Israel,2021,8942.924,Все,Все
Israel,2022,9103.151,Все,Все
Israel,2023,9256.314,Все,Все
Jordan,2019,10671.892,Все,Все
Jordan,2020,10865.228,Все,Все
Jordan,2021,11066.356,Все,Все
Jordan,2022,11256.264,Все,Все
Jordan,2023,11439.214,Все,Все
Kuwait,2019,4442.194,Все,Все
Kuwait,2020,4400.144,Все,Все
Kuwait,2021,4360.742,Все,Все
Kuwait,2022,4589.51,Все,Все
Kuwait,2023,4838.782,Все,Все
Lebanon,2019,5794.594,Все,Все
Lebanon,2020,5702.398,Все,Все
Lebanon,2021,5718.122,Все,Все
Lebanon,2022,5744.488,Все,Все
Lebanon,2023,5773.492,Все,Все
Oman,2019,4591.241,Все,Все
Oman,2020,4522.496,Все,Все
Oman,2021,4500.424,Все,Все
Oman,2022,4730.226,Все,Все
Oman,2023,5049.269,Все,Все
Qatar,2019,2797.921,Все,Все
Qatar,2020,2803.375,Все,Все
Qatar,2021,2814.982,Все,Все
Qatar,2022,2892.455,Все,Все
Qatar,2023,2979.082,Все,Все
Saudi Arabia,2019,30472.812,Все,Все
Saudi Arabia,2020,30991.207,Все,Все
Saudi Arabia,2021,31328.374,Все,Все
Saudi Arabia,2022,32175.352,Все,Все
Saudi Arabia,2023,33264.292,Все,Все
State of Palestine,2019,4957.768,Все,Все
State of Palestine,2020,5069.692,Все,Все
State of Palestine,2021,5185.336,Все,Все
State of Palestine,2022,5305.27,Все,Все
State of Palestine,2023,5409.202,Все,Все
Syrian Arab Republic,2019,20353.534,Все,Все
Syrian Arab Republic,2020,21049.429,Все,Все
Syrian Arab Republic,2021,21628.84,Все,Все
Syrian Arab Republic,2022,22462.172,Все,Все
Syrian Arab Republic,2023,23594.623,Все,Все
Türkiye,2019,85357.672,Все,Все
Türkiye,2020,86091.692,Все,Все
Türkiye,2021,86686.252,Все,Все
Türkiye,2022,87058.472,Все,Все
Türkiye,2023,87270.502,Все,Все
United Arab Emirates,2019,9377.848,Все,Все
United Arab Emirates,2020,9448.524,Все,Все
United Arab Emirates,2021,9789.048,Все,Все
United Arab Emirates,2022,10242.086,Все,Все
United Arab Emirates,2023,10642.081,Все,Все
Yemen,2019,35111.408,Все,Все
Yemen,2020,36134.864,Все,Все
Yemen,2021,37140.23,Все,Все
Yemen,2022,38222.876,Все,Все
Yemen,2023,39390.799,Все,Все
Belarus,2019,9435.42,Все,Все
Belarus,2020,9350.944,Все,Все
Belarus,2021,9251.365,Все,Все
Belarus,2022,9173.237,Все,Все
Belarus,2023,9115.68,Все,Все
Bulgaria,2019,6975.469,Все,Все
Bulgaria,2020,6933.652,Все,Все
Bulgaria,2021,6877.226,Все,Все
Bulgaria,2022,6825.864,Все,Все
Bulgaria,2023,6795.803,Все,Все
Czechia,2019,10554.875,Все,Все
Czechia,2020,10550.13,Все,Все
Czechia,2021,10530.682,Все,Все
Czechia,2022,10673.213,Все,Все
Czechia,2023,10809.716,Все,Все
Hungary,2019,9770.346,Все,Все
Hungary,2020,9749.456,Все,Все
Hungary,2021,9707.85,Все,Все
Hungary,2022,9684.306,Все,Все
Hungary,2023,9686.464,Все,Все
Poland,2019,38225.884,Все,Все
Poland,2020,38171.012,Все,Все
Poland,2021,38040.302,Все,Все
Poland,2022,38385.739,Все,Все
Poland,2023,38762.844,Все,Все
Republic of Moldova,2019,3112.562,Все,Все
Republic of Moldova,2020,3069.131,Все,Все
Republic of Moldova,2021,3023.778,Все,Все
Republic of Moldova,2022,3039.984,Все,Все
Republic of Moldova,2023,3067.07,Все,Все
Romania,2019,19501.542,Все,Все
Romania,2020,19392.469,Все,Все
Romania,2021,19248.161,Все,Все
Romania,2022,19166.772,Все,Все
Romania,2023,19118.478,Все,Все
Russian Federation,2019,146533.067,Все,Все
Russian Federation,2020,146371.298,Все,Все
Russian Federation,2021,145836.175,Все,Все
Russian Federation,2022,145579.899,Все,Все
Russian Federation,2023,145440.5,Все,Все
Slovakia,2019,5450.626,Все,Все
Slovakia,2020,5455.024,Все,Все
Slovakia,2021,5442.759,Все,Все
Slovakia,2022,5473.196,Все,Все
Slovakia,2023,5518.054,Все,Все
Ukraine,2019,44957.458,Все,Все
Ukraine,2020,44680.014,Все,Все
Ukraine,2021,44298.64,Все,Все
Ukraine,2022,41048.766,Все,Все
Ukraine,2023,37732.836,Все,Все
Denmark,2019,5814.618,Все,Все
Denmark,2020,5831.53,Все,Все
Denmark,2021,5856.776,Все,Все
Denmark,2022,5902.904,Все,Все
Denmark,2023,5948.136,Все,Все
Estonia,2019,1326.822,Все,Все
Estonia,2020,1329.67,Все,Все
Estonia,2021,1331.75,Все,Все
Estonia,2022,1350.092,Все,Все
Estonia,2023,1367.196,Все,Все
Faroe Islands,2019,51.842,Все,Все
Faroe Islands,2020,52.586,Все,Все
Faroe Islands,2021,53.3,Все,Все
Faroe Islands,2022,54.011,Все,Все
Faroe Islands,2023,54.714,Все,Все
Finland,2019,5521.759,Все,Все
Finland,2020,5529.612,Все,Все
Finland,2021,5541.075,Все,Все
Finland,2022,5569.299,Все,Все
Finland,2023,5601.186,Все,Все
Guernsey,2019,62.784,Все,Все
Guernsey,2020,63.106,Все,Все
Guernsey,2021,63.414,Все,Все
Guernsey,2022,63.726,Все,Все
Guernsey,2023,64.017,Все,Все
Iceland,2019,360.7,Все,Все
Iceland,2020,366.614,Все,Все
Iceland,2021,372.644,Все,Все
Iceland,2022,380.356,Все,Все
Iceland,2023,387.558,Все,Все
Ireland,2019,4933.491,Все,Все
Ireland,2020,4982.606,Все,Все
Ireland,2021,5028.426,Все,Все
Ireland,2022,5110.016,Все,Все
Ireland,2023,5196.63,Все,Все
Isle of Man,2019,83.956,Все,Все
Isle of Man,2020,84.064,Все,Все
Isle of Man,2021,84.106,Все,Все
Isle of Man,2022,84.132,Все,Все
Isle of Man,2023,84.166,Все,Все
Jersey,2019,102.856,Все,Все
Jersey,2020,103.13,Все,Все
Jersey,2021,103.328,Все,Все
Jersey,2022,103.49,Все,Все
Jersey,2023,103.674,Все,Все
Latvia,2019,1914.263,Все,Все
Latvia,2020,1901.124,Все,Все
Latvia,2021,1885.587,Все,Все
Latvia,2022,1881.063,Все,Все
Latvia,2023,1882.396,Все,Все
Lithuania,2019,2795.058,Все,Все
Lithuania,2020,2795.764,Все,Все
Lithuania,2021,2794.488,Все,Все
Lithuania,2022,2816.92,Все,Все
Lithuania,2023,2854.099,Все,Все
Norway,2019,5347.73,Все,Все
Norway,2020,5379.274,Все,Все
Norway,2021,5408.09,Все,Все
Norway,2022,5456.802,Все,Все
Norway,2023,5519.167,Все,Все
Sweden,2019,10279.125,Все,Все
Sweden,2020,10353.686,Все,Все
Sweden,2021,10416.132,Все,Все
Sweden,2022,10487.338,Все,Все
Sweden,2023,10551.494,Все,Все
United Kingdom,2019,67110.958,Все,Все
United Kingdom,2020,67351.862,Все,Все
United Kingdom,2021,67668.792,Все,Все
United Kingdom,2022,68179.316,Все,Все
United Kingdom,2023,68682.962,Все,Все
Albania,2019,2885.01,Все,Все
Albania,2020,2871.954,Все,Все
Albania,2021,2849.636,Все,Все
Albania,2022,2827.608,Все,Все
Albania,2023,2811.655,Все,Все
Andorra,2019,76.474,Все,Все
Andorra,2020,77.38,Все,Все
Andorra,2021,78.364,Все,Все
Andorra,2022,79.705,Все,Все
Andorra,2023,80.856,Все,Все
Bosnia and Herzegovina,2019,3345.533,Все,Все
Bosnia and Herzegovina,2020,3299.35,Все,Все
Bosnia and Herzegovina,2021,3244.908,Все,Все
Bosnia and Herzegovina,2022,3204.802,Все,Все
Bosnia and Herzegovina,2023,3185.073,Все,Все
Croatia,2019,3986.334,Все,Все
Croatia,2020,3953.958,Все,Все
